,point index,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
945,1040,Bar,French Restaurant,Athletics & Sports,Food,,,,,,
946,1041,French Restaurant,Restaurant,,,,,,,,
947,1042,Restaurant,Plaza,Bar,,,,,,,
948,1043,Athletics & Sports,Outdoors & Recreation,Bar,French Restaurant,,,,,,
949,1044,Athletics & Sports,French Restaurant,Restaurant,,,,,,,
950,1045,Japanese Restaurant,Hotel,Restaurant,,,,,,,
951,1046,Bakery,Hotel,French Restaurant,,,,,,,
952,1047,Café,French Restaurant,,,,,,,,
953,1048,Japanese Restaurant,Hotel,,,,,,,,
954,1049,Shop & Service,Bar,,,,,,,,
955,1051,Italian Restaurant,,,,,,,,,
956,1052,Italian Restaurant,Hotel,,,,,,,,
957,1053,Italian Restaurant,Hotel,,,,,,,,
958,1054,Food & Drink Shop,Japanese Restaurant,,,,,,,,
959,1055,Food & Drink Shop,Athletics & Sports,Japanese Restaurant,Restaurant,,,,,,
960,1056,Food,Bar,,,,,,,,
961,1057,Asian Restaurant,Hotel,Food,Bar,,,,,,
962,1058,Bakery,Bar,Hotel,Food & Drink Shop,Restaurant,Café,Plaza,Japanese Restaurant,Italian Restaurant,French Restaurant
963,1059,Bakery,Bar,Restaurant,Café,Plaza,Japanese Restaurant,Italian Restaurant,Hotel,French Restaurant,Food
964,1060,Bar,French Restaurant,,,,,,,,
965,1061,Outdoors & Recreation,Bar,Hotel,French Restaurant,Food,,,,,
966,1062,French Restaurant,Hotel,Asian Restaurant,Food,Athletics & Sports,Bar,Clothing Store,Food & Drink Shop,Shop & Service,Italian Restaurant
967,1063,French Restaurant,Hotel,Asian Restaurant,Café,Athletics & Sports,Bakery,Clothing Store,Food & Drink Shop,Shop & Service,Italian Restaurant
968,1064,Bakery,Café,Shop & Service,Italian Restaurant,Dessert Shop,,,,,
969,1065,Shop & Service,Italian Restaurant,Bakery,Café,Restaurant,Dessert Shop,,,,
970,1066,Bakery,French Restaurant,Restaurant,Café,Food,,,,,
971,1067,Hotel,French Restaurant,Food,Shop & Service,Bakery,Café,Clothing Store,Restaurant,Dessert Shop,
972,1068,Dessert Shop,Hotel,Clothing Store,French Restaurant,Bar,Shop & Service,Food & Drink Shop,Food,Plaza,Café
973,1069,French Restaurant,Plaza,Italian Restaurant,Bar,Café,Shop & Service,Food & Drink Shop,Clothing Store,Restaurant,Food
974,1070,Plaza,Food,Shop & Service,French Restaurant,Café,Clothing Store,Restaurant,Italian Restaurant,Hotel,Dessert Shop
975,1071,Hotel,French Restaurant,Food,Shop & Service,Italian Restaurant,Café,Dessert Shop,,,
976,1072,Shop & Service,French Restaurant,Hotel,Clothing Store,Café,Food,,,,
977,1073,Shop & Service,Clothing Store,Café,,,,,,,
978,1074,Shop & Service,Café,Italian Restaurant,Coffee Shop,Department Store,Food,Food & Drink Shop,Dessert Shop,Plaza,
979,1075,Shop & Service,French Restaurant,Plaza,Food,Japanese Restaurant,Italian Restaurant,Hotel,Café,Coffee Shop,Dessert Shop
980,1076,Shop & Service,Hotel,Japanese Restaurant,Food,Italian Restaurant,Café,Restaurant,French Restaurant,Dessert Shop,Plaza
981,1077,Japanese Restaurant,Hotel,Shop & Service,Bakery,Asian Restaurant,Dessert Shop,Italian Restaurant,Athletics & Sports,Restaurant,
982,1078,Shop & Service,Athletics & Sports,Italian Restaurant,Hotel,French Restaurant,Bakery,Bar,Clothing Store,Restaurant,Dessert Shop
983,1079,Shop & Service,Bar,Creperie,Hotel,French Restaurant,Food,Athletics & Sports,Clothing Store,Coffee Shop,Restaurant
984,1080,Shop & Service,Clothing Store,French Restaurant,Coffee Shop,Dessert Shop,Creperie,Plaza,Hotel,Department Store,
985,1081,Shop & Service,Clothing Store,French Restaurant,Hotel,Coffee Shop,Dessert Shop,Café,Department Store,Creperie,Italian Restaurant
986,1082,Hotel,Food,Italian Restaurant,Shop & Service,Café,Clothing Store,Coffee Shop,French Restaurant,Asian Restaurant,Japanese Restaurant
987,1083,Food,Shop & Service,Athletics & Sports,Café,Chinese Restaurant,Hotel,French Restaurant,Clothing Store,Restaurant,
988,1084,Food,Hotel,Bar,Japanese Restaurant,Dessert Shop,Athletics & Sports,Café,French Restaurant,Asian Restaurant,
989,1085,Hotel,Bar,Japanese Restaurant,Italian Restaurant,French Restaurant,Food,Nightlife Spot,Café,,
990,1086,Hotel,Bar,French Restaurant,Italian Restaurant,Food,Japanese Restaurant,,,,
991,1087,Bar,French Restaurant,Italian Restaurant,Chinese Restaurant,Dessert Shop,Plaza,Japanese Restaurant,Hotel,Food,
992,1088,French Restaurant,Bakery,Bar,Chinese Restaurant,Shop & Service,Café,Restaurant,Food,Dessert Shop,Hotel
993,1089,French Restaurant,Bar,Italian Restaurant,Restaurant,Bakery,Hotel,Dessert Shop,Café,,
994,1090,Italian Restaurant,Restaurant,Food & Drink Shop,Dessert Shop,French Restaurant,Hotel,Asian Restaurant,,,
995,1091,Dessert Shop,Outdoors & Recreation,Bar,French Restaurant,Food & Drink Shop,,,,,
996,1092,Bar,Restaurant,French Restaurant,Food & Drink Shop,,,,,,
997,1093,Bar,Food & Drink Shop,Restaurant,,,,,,,
998,1094,Bar,,,,,,,,,
999,1095,Café,,,,,,,,,
1000,1096,Food & Drink Shop,,,,,,,,,
1001,1097,Shop & Service,Bar,,,,,,,,
1002,1098,Outdoors & Recreation,,,,,,,,,
1003,1099,Italian Restaurant,,,,,,,,,
1004,1100,Outdoors & Recreation,Italian Restaurant,Restaurant,,,,,,,
1005,1101,Restaurant,,,,,,,,,
1006,1102,Restaurant,Athletics & Sports,,,,,,,,
1007,1103,Restaurant,Athletics & Sports,,,,,,,,
1008,1104,Asian Restaurant,Bar,Food,,,,,,,
1009,1105,Asian Restaurant,Bar,Coffee Shop,Food & Drink Shop,,,,,,
1010,1106,Food & Drink Shop,Bar,Café,French Restaurant,Coffee Shop,,,,,
1011,1107,Outdoors & Recreation,Café,French Restaurant,,,,,,,
1012,1108,Outdoors & Recreation,Bar,French Restaurant,,,,,,,
1013,1109,French Restaurant,Bar,Food,,,,,,,
1014,1110,French Restaurant,Food,Asian Restaurant,Athletics & Sports,Café,Hotel,,,,
1015,1111,Asian Restaurant,Bakery,Café,Hotel,French Restaurant,Food,,,,
1016,1112,Plaza,Bakery,Italian Restaurant,Café,,,,,,
1017,1113,Plaza,Restaurant,,,,,,,,
1018,1114,Restaurant,,,,,,,,,
1019,1115,French Restaurant,Dessert Shop,Bar,Hotel,Food & Drink Shop,Food,Restaurant,,,
1020,1116,Bar,Dessert Shop,French Restaurant,Italian Restaurant,Food,Shop & Service,Plaza,Clothing Store,Hotel,Food & Drink Shop
1021,1117,Bar,Food,Italian Restaurant,Restaurant,Dessert Shop,Clothing Store,French Restaurant,Shop & Service,Pharmacy,Plaza
1022,1118,Restaurant,Dessert Shop,French Restaurant,Plaza,Food,Hotel,Bakery,Bar,Café,Shop & Service
1023,1119,Hotel,Shop & Service,Bar,Café,Food,Dessert Shop,Plaza,Outdoors & Recreation,,
1024,1120,Shop & Service,Outdoors & Recreation,Café,Hotel,French Restaurant,Clothing Store,,,,
1025,1121,Café,French Restaurant,Plaza,Bakery,Coffee Shop,,,,,
1026,1122,Shop & Service,Plaza,Café,Food & Drink Shop,Bakery,Bar,Coffee Shop,Food,Dessert Shop,Hotel
1027,1123,Shop & Service,Café,Plaza,Japanese Restaurant,Italian Restaurant,Hotel,Food,Coffee Shop,,
1028,1124,Asian Restaurant,Japanese Restaurant,Café,Hotel,Shop & Service,Italian Restaurant,French Restaurant,Bakery,Food,Restaurant
1029,1125,Japanese Restaurant,Asian Restaurant,French Restaurant,Bar,Coffee Shop,Athletics & Sports,Bakery,Café,Hotel,Food & Drink Shop
1030,1126,Japanese Restaurant,Shop & Service,Bar,Dessert Shop,Outdoors & Recreation,Food & Drink Shop,Athletics & Sports,Bakery,Café,Asian Restaurant
1031,1127,Asian Restaurant,Café,Creperie,Japanese Restaurant,Hotel,Food & Drink Shop,Athletics & Sports,Coffee Shop,Food,Shop & Service
1032,1128,Hotel,French Restaurant,Creperie,Food,Shop & Service,Café,Chinese Restaurant,Clothing Store,Coffee Shop,Asian Restaurant
1033,1129,Food,French Restaurant,Clothing Store,Hotel,Shop & Service,Athletics & Sports,Nightlife Spot,Japanese Restaurant,Italian Restaurant,Chinese Restaurant
1034,1130,Food,Asian Restaurant,Athletics & Sports,Bar,Hotel,French Restaurant,,,,
1035,1131,Hotel,Food,Asian Restaurant,Plaza,Bar,Café,Chinese Restaurant,Clothing Store,,
1036,1132,French Restaurant,Hotel,Food,Japanese Restaurant,Bar,Plaza,Nightlife Spot,Food & Drink Shop,Restaurant,
1037,1133,French Restaurant,Bar,Hotel,Nightlife Spot,Italian Restaurant,Food,Food & Drink Shop,,,
1038,1134,Bar,French Restaurant,Italian Restaurant,Hotel,Shop & Service,Restaurant,Asian Restaurant,,,
1039,1135,French Restaurant,Dessert Shop,Food & Drink Shop,Bar,Restaurant,Italian Restaurant,Food,Bakery,Café,Chinese Restaurant
1040,1136,French Restaurant,Bar,Bakery,Dessert Shop,Italian Restaurant,Hotel,Restaurant,Food,Food & Drink Shop,Shop & Service
1041,1137,French Restaurant,Bar,Plaza,Bakery,Asian Restaurant,Italian Restaurant,Hotel,Café,Restaurant,Clothing Store
1042,1138,French Restaurant,Dessert Shop,Restaurant,Italian Restaurant,Food & Drink Shop,Hotel,Asian Restaurant,Plaza,,
1043,1139,French Restaurant,Bar,Dessert Shop,Plaza,Hotel,Food & Drink Shop,,,,
1044,1140,French Restaurant,Food & Drink Shop,Bar,Hotel,Dessert Shop,Bakery,Restaurant,,,
1045,1141,Hotel,Food & Drink Shop,Restaurant,,,,,,,
1046,1142,Plaza,Bar,Food & Drink Shop,Food,,,,,,
1047,1143,Plaza,Outdoors & Recreation,Hotel,,,,,,,
1048,1144,Hotel,Food & Drink Shop,,,,,,,,
1049,1145,Asian Restaurant,Outdoors & Recreation,,,,,,,,
1050,1146,Outdoors & Recreation,,,,,,,,,
1051,1147,Outdoors & Recreation,,,,,,,,,
1052,1148,Outdoors & Recreation,French Restaurant,Coffee Shop,,,,,,,
1053,1149,Restaurant,Coffee Shop,,,,,,,,
1054,1150,Italian Restaurant,,,,,,,,,
1055,1151,Italian Restaurant,,,,,,,,,
1056,1152,Café,,,,,,,,,
1057,1153,Athletics & Sports,Bar,Café,Italian Restaurant,Hotel,French Restaurant,,,,
1058,1154,Athletics & Sports,Bar,Hotel,French Restaurant,Food & Drink Shop,Coffee Shop,,,,
1059,1155,Outdoors & Recreation,,,,,,,,,
1060,1156,Italian Restaurant,,,,,,,,,
1061,1157,French Restaurant,Food,Bar,Café,Italian Restaurant,Hotel,,,,
1062,1158,French Restaurant,Asian Restaurant,Bar,Food,,,,,,
1063,1159,French Restaurant,,,,,,,,,
1064,1160,Hotel,Plaza,French Restaurant,Food,,,,,,
1065,1161,Plaza,Hotel,French Restaurant,,,,,,,
1066,1162,Italian Restaurant,French Restaurant,,,,,,,,
1067,1163,Hotel,Bar,Restaurant,Food & Drink Shop,French Restaurant,Shop & Service,Food,Asian Restaurant,Italian Restaurant,Japanese Restaurant
1068,1164,Bar,Food,Dessert Shop,French Restaurant,Creperie,Restaurant,Asian Restaurant,,,
1069,1165,Bar,Dessert Shop,Food,French Restaurant,Restaurant,Shop & Service,Coffee Shop,Bakery,Creperie,Italian Restaurant
1070,1166,Restaurant,Food,French Restaurant,Dessert Shop,Hotel,Bar,Bakery,Food & Drink Shop,Shop & Service,Italian Restaurant
1071,1167,Bar,French Restaurant,Outdoors & Recreation,Hotel,Café,Food,Restaurant,,,
1072,1168,Outdoors & Recreation,French Restaurant,,,,,,,,
1073,1169,Plaza,Bakery,Nightlife Spot,Hotel,Food,Coffee Shop,,,,
1074,1170,Plaza,Bakery,French Restaurant,Bar,Café,,,,,
1075,1171,Bar,Plaza,Café,Hotel,Clothing Store,Shop & Service,Bakery,Breakfast Spot,French Restaurant,Food & Drink Shop
1076,1172,French Restaurant,Hotel,Bar,Japanese Restaurant,Food & Drink Shop,Clothing Store,Shop & Service,Café,Food,Restaurant
1077,1173,Japanese Restaurant,Bar,French Restaurant,Food & Drink Shop,Asian Restaurant,Coffee Shop,Outdoors & Recreation,Italian Restaurant,Food,Café
1078,1174,Japanese Restaurant,Italian Restaurant,Bar,Restaurant,French Restaurant,Shop & Service,Food,Athletics & Sports,Café,Clothing Store
1079,1175,French Restaurant,Italian Restaurant,Food,Bar,Café,Hotel,Food & Drink Shop,Restaurant,,
1080,1176,French Restaurant,Hotel,Café,Italian Restaurant,Food,Restaurant,,,,
1081,1177,Food,French Restaurant,Hotel,Restaurant,Bar,Coffee Shop,,,,
1082,1178,Food,Bar,Restaurant,Athletics & Sports,Bakery,French Restaurant,Japanese Restaurant,Food & Drink Shop,,
1083,1179,Bakery,French Restaurant,Restaurant,Bar,Food,Asian Restaurant,Plaza,Nightlife Spot,Japanese Restaurant,Food & Drink Shop
1084,1180,French Restaurant,Hotel,Dessert Shop,Plaza,Bakery,Nightlife Spot,Breakfast Spot,Café,Food,Restaurant
1085,1181,Bar,Hotel,French Restaurant,Breakfast Spot,Dessert Shop,Coffee Shop,Plaza,Nightlife Spot,Restaurant,Creperie
1086,1182,Bar,French Restaurant,Coffee Shop,Bakery,Hotel,Restaurant,Asian Restaurant,Plaza,Nightlife Spot,Italian Restaurant
1087,1183,Italian Restaurant,French Restaurant,Plaza,Bakery,Bar,Food & Drink Shop,Coffee Shop,Dessert Shop,Outdoors & Recreation,Japanese Restaurant
1088,1184,Food,French Restaurant,Plaza,Bar,Food & Drink Shop,Dessert Shop,Bakery,Café,Asian Restaurant,Italian Restaurant
1089,1185,French Restaurant,Café,Plaza,Dessert Shop,Food,Asian Restaurant,,,,
1090,1186,French Restaurant,Plaza,Bar,Café,Food,Dessert Shop,,,,
1091,1187,Bar,French Restaurant,Food,Plaza,Athletics & Sports,Outdoors & Recreation,Bakery,Food & Drink Shop,Creperie,
1092,1188,Hotel,French Restaurant,Food & Drink Shop,Food,Restaurant,Athletics & Sports,Bakery,Outdoors & Recreation,Creperie,
1093,1189,Food,Hotel,French Restaurant,Food & Drink Shop,,,,,,
1094,1190,Food,Plaza,Food & Drink Shop,,,,,,,
1095,1191,Plaza,Outdoors & Recreation,,,,,,,,
1096,1192,Bar,Outdoors & Recreation,Hotel,,,,,,,
1097,1193,Asian Restaurant,Café,,,,,,,,
1098,1194,Shop & Service,Bar,Asian Restaurant,,,,,,,
1099,1195,Asian Restaurant,Bakery,Bar,Italian Restaurant,Chinese Restaurant,French Restaurant,,,,
1100,1196,Asian Restaurant,Italian Restaurant,Chinese Restaurant,French Restaurant,,,,,,
1101,1197,Japanese Restaurant,Coffee Shop,,,,,,,,
1102,1198,Plaza,Japanese Restaurant,Italian Restaurant,Café,Food & Drink Shop,,,,,
1103,1199,Food & Drink Shop,Dessert Shop,Plaza,Japanese Restaurant,Italian Restaurant,Café,,,,
1104,1200,Dessert Shop,Food & Drink Shop,,,,,,,,
1105,1201,Athletics & Sports,Bar,Japanese Restaurant,Italian Restaurant,Hotel,Café,Food & Drink Shop,,,
1106,1202,Athletics & Sports,Outdoors & Recreation,Bar,Japanese Restaurant,Italian Restaurant,Hotel,Café,,,
1107,1203,Outdoors & Recreation,,,,,,,,,
1108,1204,Italian Restaurant,French Restaurant,,,,,,,,
1109,1205,Bar,French Restaurant,Food,,,,,,,
1110,1206,Food,Asian Restaurant,Plaza,Bar,Hotel,,,,,
1111,1207,French Restaurant,Food,Bar,Hotel,Asian Restaurant,Plaza,,,,
1112,1208,Hotel,French Restaurant,Food,Bar,Café,,,,,
1113,1209,Bar,Food,Dessert Shop,Hotel,Café,French Restaurant,Asian Restaurant,Chinese Restaurant,Japanese Restaurant,
1114,1210,Hotel,Dessert Shop,French Restaurant,Bar,Food,Café,Plaza,Japanese Restaurant,Italian Restaurant,Creperie
1115,1211,Hotel,Food,French Restaurant,Bar,Shop & Service,Food & Drink Shop,Dessert Shop,Asian Restaurant,Plaza,
1116,1212,Shop & Service,Bar,Food,Hotel,Creperie,Restaurant,Food & Drink Shop,French Restaurant,Asian Restaurant,
1117,1213,Shop & Service,Bar,Restaurant,French Restaurant,Food,Plaza,Japanese Restaurant,Hotel,Creperie,Coffee Shop
1118,1214,Hotel,Bar,Restaurant,French Restaurant,Food,Asian Restaurant,Plaza,Japanese Restaurant,Food & Drink Shop,Café
1119,1215,Bar,French Restaurant,Hotel,Restaurant,Café,Plaza,Outdoors & Recreation,Nightlife Spot,Food & Drink Shop,Food
1120,1216,French Restaurant,Nightlife Spot,Coffee Shop,Plaza,Outdoors & Recreation,Bar,Hotel,Food,Café,
1121,1217,French Restaurant,Food,Clothing Store,Shop & Service,Bar,Coffee Shop,Plaza,Nightlife Spot,Japanese Restaurant,Hotel
1122,1218,French Restaurant,Bar,Clothing Store,Food,Plaza,Bakery,Breakfast Spot,Chinese Restaurant,,
1123,1219,French Restaurant,Food,Clothing Store,Italian Restaurant,Restaurant,Shop & Service,Bakery,Bar,Breakfast Spot,Hotel
1124,1221,French Restaurant,Food,Bar,Shop & Service,Athletics & Sports,Bakery,Clothing Store,Restaurant,Food & Drink Shop,Dessert Shop
1125,1222,Food,French Restaurant,Restaurant,Shop & Service,Athletics & Sports,Bar,Clothing Store,Dessert Shop,Italian Restaurant,Japanese Restaurant
1126,1223,French Restaurant,Restaurant,Plaza,Japanese Restaurant,Food,Shop & Service,Coffee Shop,Bar,Italian Restaurant,Chinese Restaurant
1127,1224,Food,Plaza,Bar,Hotel,Restaurant,Shop & Service,Japanese Restaurant,French Restaurant,Creperie,Coffee Shop
1128,1225,French Restaurant,Food,Restaurant,Plaza,Bar,Hotel,Shop & Service,Japanese Restaurant,Food & Drink Shop,
1129,1226,Food,French Restaurant,Restaurant,Bar,Food & Drink Shop,Shop & Service,Hotel,Creperie,Asian Restaurant,Japanese Restaurant
1130,1227,French Restaurant,Bar,Bakery,Japanese Restaurant,Restaurant,Hotel,Nightlife Spot,Italian Restaurant,Food & Drink Shop,Food
1131,1228,French Restaurant,Restaurant,Dessert Shop,Bar,Italian Restaurant,Bakery,Breakfast Spot,Clothing Store,Coffee Shop,Creperie
1132,1229,Breakfast Spot,Dessert Shop,Bakery,Bar,Hotel,French Restaurant,Coffee Shop,Creperie,,
1133,1230,French Restaurant,Bakery,Food,,,,,,,
1134,1231,French Restaurant,Italian Restaurant,Shop & Service,Restaurant,Coffee Shop,Plaza,Outdoors & Recreation,Bakery,Food,
1135,1232,Bar,French Restaurant,Dessert Shop,Outdoors & Recreation,Asian Restaurant,Plaza,Food,Café,,
1136,1233,French Restaurant,Café,Dessert Shop,Outdoors & Recreation,Bar,Coffee Shop,Food,Asian Restaurant,Plaza,
1137,1234,Café,French Restaurant,Food,Bar,Dessert Shop,Italian Restaurant,Asian Restaurant,Plaza,,
1138,1235,Bar,Food,Italian Restaurant,French Restaurant,,,,,,
1139,1236,French Restaurant,Food,Restaurant,Hotel,Athletics & Sports,Bar,Food & Drink Shop,Creperie,,
1140,1237,Food,Restaurant,French Restaurant,Food & Drink Shop,,,,,,
1141,1238,Food,,,,,,,,,
1142,1240,Bar,Food,,,,,,,,
1143,1241,Plaza,Japanese Restaurant,Café,Food,,,,,,
1144,1242,Bar,Shop & Service,French Restaurant,,,,,,,
1145,1243,Asian Restaurant,Bakery,Bar,Italian Restaurant,Chinese Restaurant,French Restaurant,,,,
1146,1244,Asian Restaurant,Bakery,Italian Restaurant,Chinese Restaurant,,,,,,
1147,1245,Asian Restaurant,Athletics & Sports,Japanese Restaurant,,,,,,,
1148,1246,Plaza,Café,Food & Drink Shop,,,,,,,
1149,1247,Food & Drink Shop,Dessert Shop,Bakery,Café,Asian Restaurant,,,,,
1150,1248,Dessert Shop,Food & Drink Shop,Athletics & Sports,Café,Asian Restaurant,,,,,
1151,1249,Athletics & Sports,Japanese Restaurant,Café,French Restaurant,Food & Drink Shop,,,,,
1152,1250,Asian Restaurant,Outdoors & Recreation,French Restaurant,Food & Drink Shop,,,,,,
1153,1251,Outdoors & Recreation,Food,,,,,,,,
1154,1252,Bar,Japanese Restaurant,Food,,,,,,,
1155,1253,Hotel,Dessert Shop,Bar,Japanese Restaurant,Food,,,,,
1156,1254,Italian Restaurant,Hotel,Bar,Food,,,,,,
1157,1255,Bar,Italian Restaurant,Hotel,French Restaurant,Food,,,,,
1158,1256,Hotel,Food,Plaza,Bar,Café,French Restaurant,,,,
1159,1257,Bar,Hotel,French Restaurant,Café,Food,Dessert Shop,Bakery,Chinese Restaurant,Creperie,Asian Restaurant
1160,1258,Hotel,Dessert Shop,Plaza,Bar,French Restaurant,Bakery,Café,Creperie,Asian Restaurant,Italian Restaurant
1161,1259,Hotel,French Restaurant,Bar,Food,Shop & Service,Coffee Shop,Plaza,Food & Drink Shop,,
1162,1260,Shop & Service,Bar,Food,Athletics & Sports,French Restaurant,Hotel,Food & Drink Shop,Restaurant,,
1163,1261,Shop & Service,Bar,Food,Plaza,Japanese Restaurant,Restaurant,Dessert Shop,,,
1164,1262,Bar,Food,Creperie,Plaza,French Restaurant,Japanese Restaurant,Hotel,Café,Restaurant,
1165,1263,French Restaurant,Café,Plaza,Bar,,,,,,
1166,1264,French Restaurant,Bar,Shop & Service,Plaza,Nightlife Spot,Hotel,Food,,,
1167,1265,Bar,French Restaurant,Food,Restaurant,Italian Restaurant,Clothing Store,Shop & Service,Bakery,Japanese Restaurant,Hotel
1168,1266,French Restaurant,Food,Restaurant,Bar,Hotel,Clothing Store,Bakery,Japanese Restaurant,Italian Restaurant,Chinese Restaurant
1169,1267,French Restaurant,Italian Restaurant,Food,Restaurant,Bar,Café,Chinese Restaurant,,,
1170,1268,French Restaurant,Bakery,Italian Restaurant,Hotel,Food,Restaurant,Clothing Store,Shop & Service,Coffee Shop,Bar
1171,1269,French Restaurant,Shop & Service,Bar,Food,Bakery,Japanese Restaurant,Hotel,Clothing Store,Coffee Shop,
1172,1270,Food,French Restaurant,Clothing Store,Shop & Service,Bar,Chinese Restaurant,Restaurant,Dessert Shop,Japanese Restaurant,Nightlife Spot
1173,1271,French Restaurant,Bar,Japanese Restaurant,Shop & Service,Clothing Store,Coffee Shop,Creperie,Food,Dessert Shop,Hotel
1174,1272,French Restaurant,Hotel,Shop & Service,Plaza,Bar,Restaurant,Coffee Shop,Creperie,Food,Dessert Shop
1175,1273,Hotel,Bar,Restaurant,Food,French Restaurant,Plaza,Shop & Service,Food & Drink Shop,Asian Restaurant,Japanese Restaurant
1176,1274,Food,French Restaurant,Hotel,Asian Restaurant,Bar,Japanese Restaurant,Restaurant,,,
1177,1275,French Restaurant,Restaurant,Food,Italian Restaurant,Hotel,Asian Restaurant,Bar,Japanese Restaurant,Food & Drink Shop,
1178,1276,French Restaurant,Asian Restaurant,Bar,Restaurant,Food & Drink Shop,Bakery,Japanese Restaurant,Italian Restaurant,Hotel,Food
1179,1277,Italian Restaurant,Bar,French Restaurant,Bakery,Food,Asian Restaurant,Outdoors & Recreation,Restaurant,Clothing Store,
1180,1278,Bar,Italian Restaurant,Shop & Service,Bakery,Café,French Restaurant,Food,Outdoors & Recreation,Food & Drink Shop,
1181,1279,Shop & Service,Bar,French Restaurant,Italian Restaurant,Restaurant,Asian Restaurant,Bakery,Plaza,Food,
1182,1280,French Restaurant,Bar,Outdoors & Recreation,Restaurant,Food,Dessert Shop,Breakfast Spot,Creperie,Asian Restaurant,Italian Restaurant
1183,1281,French Restaurant,Outdoors & Recreation,Food,Bar,Café,Italian Restaurant,Dessert Shop,Breakfast Spot,Creperie,Restaurant
1184,1282,French Restaurant,Bar,Café,Italian Restaurant,Food,Asian Restaurant,Restaurant,,,
1185,1283,Bar,French Restaurant,Café,Italian Restaurant,Restaurant,,,,,
1186,1284,Food,Restaurant,French Restaurant,Bar,Plaza,Bakery,Italian Restaurant,Hotel,Food & Drink Shop,Café
1187,1285,Food,Restaurant,Asian Restaurant,Plaza,Italian Restaurant,Food & Drink Shop,Creperie,,,
1188,1286,Hotel,Athletics & Sports,Bakery,Food & Drink Shop,Food,,,,,
1189,1287,Bakery,Food & Drink Shop,,,,,,,,
1190,1290,Bar,French Restaurant,,,,,,,,
1191,1292,Plaza,Café,,,,,,,,
1192,1293,Food & Drink Shop,Plaza,Athletics & Sports,Café,,,,,,
1193,1294,Food & Drink Shop,Asian Restaurant,Café,Hotel,French Restaurant,,,,,
1194,1295,Hotel,Asian Restaurant,Bakery,Bar,,,,,,
1195,1296,Hotel,Shop & Service,Japanese Restaurant,Bakery,Café,Asian Restaurant,,,,
1196,1297,Japanese Restaurant,French Restaurant,Food,,,,,,,
1197,1298,Asian Restaurant,French Restaurant,Food,,,,,,,
1198,1299,French Restaurant,Hotel,,,,,,,,
1199,1300,Bar,Hotel,French Restaurant,Dessert Shop,Japanese Restaurant,Italian Restaurant,Café,Food,Restaurant,
1200,1301,Hotel,Bar,Food,Dessert Shop,Italian Restaurant,Café,Restaurant,Asian Restaurant,Japanese Restaurant,
1201,1302,Italian Restaurant,Hotel,,,,,,,,
1202,1303,Bar,Italian Restaurant,,,,,,,,
1203,1304,Bar,French Restaurant,Asian Restaurant,Japanese Restaurant,Italian Restaurant,,,,,
1204,1305,Bar,French Restaurant,Plaza,Italian Restaurant,Hotel,Asian Restaurant,Bakery,Café,,
1205,1306,Bar,Italian Restaurant,French Restaurant,Hotel,Asian Restaurant,Coffee Shop,Plaza,Café,Restaurant,
1206,1307,Hotel,French Restaurant,Italian Restaurant,Shop & Service,Coffee Shop,Food & Drink Shop,Bakery,Bar,Asian Restaurant,
1207,1308,Shop & Service,Restaurant,French Restaurant,Athletics & Sports,Bakery,Food & Drink Shop,Bar,Coffee Shop,Dessert Shop,Japanese Restaurant
1208,1309,Shop & Service,Food,Restaurant,Dessert Shop,Creperie,Japanese Restaurant,Athletics & Sports,Hotel,French Restaurant,Bakery
1209,1310,Bar,French Restaurant,Plaza,Food,Shop & Service,Café,Restaurant,Dessert Shop,,
1210,1311,Plaza,Café,French Restaurant,,,,,,,
1211,1312,French Restaurant,Shop & Service,Bar,Café,Plaza,Outdoors & Recreation,Hotel,Food,,
1212,1313,Food,Bar,Hotel,Restaurant,Bakery,Café,Italian Restaurant,French Restaurant,Clothing Store,
1213,1314,Food,Restaurant,Bakery,Bar,Hotel,Clothing Store,Shop & Service,Café,French Restaurant,
1214,1315,French Restaurant,Shop & Service,Food,Bakery,Bar,Breakfast Spot,Café,Clothing Store,Dessert Shop,Italian Restaurant
1215,1316,Bar,Dessert Shop,French Restaurant,Clothing Store,Food,Shop & Service,Asian Restaurant,Bakery,Food & Drink Shop,Plaza
1216,1317,Bar,Dessert Shop,Food,Bakery,Shop & Service,Italian Restaurant,French Restaurant,Food & Drink Shop,Plaza,Coffee Shop
1217,1318,Bar,Food,Asian Restaurant,Athletics & Sports,Bakery,Hotel,French Restaurant,Food & Drink Shop,Restaurant,Clothing Store
1218,1319,Bar,Hotel,Restaurant,Asian Restaurant,Athletics & Sports,Nightlife Spot,Italian Restaurant,Food & Drink Shop,Food,Clothing Store
1219,1320,Hotel,Bar,Asian Restaurant,Athletics & Sports,French Restaurant,Restaurant,Nightlife Spot,Italian Restaurant,Food & Drink Shop,Food
1220,1321,French Restaurant,Bar,Food,Hotel,Restaurant,Asian Restaurant,Coffee Shop,Plaza,Athletics & Sports,Italian Restaurant
1221,1322,French Restaurant,Food,Italian Restaurant,Asian Restaurant,Plaza,Outdoors & Recreation,Hotel,Restaurant,Chinese Restaurant,
